animal,infant,female,male,group,meat
Aardvark,cub,sow,boar,,
Albatross,chick,,,flock||rookery||gam (when searching for mates),
Alligator,hatchling,cow,bull,congregation,
Alpaca,cria,hembra,macho,herd,
Anole,hatchling,,,,
Ant,larva||pupa,queen (fertile)||worker||soldier,drone,army||bike||colony||nest||swarm,
Anteater,pup,sow,boar,,
Antelope,calf,doe,buck,herd||cluster||tribe,
Ape,baby||child||infant,,,group||family||band||shrewdness||troop,
Armadillo,pup||baby,sow,boar,,
Ass,foal,jenny,jack,herd||coffle||drove||pace,
Baboon,infant,babuina,,flange||troop,
Badger,cub||kit,sow,boar,cete||colony,
Barracuda,,,,school,
Bat,pup,,,cloud||colony||flock||camp,
Bear,cub,sow||she-bear,boar,sleuth||sloth,
Beaver,kit||kitten||pup,,,family||colony,
Bee,larva||pupa,queen||worker ,drone,cast (a second swarm)||cluster (of workers around the queen)||colony||drift||erst||grist||hive||nest||rabble||stand||swarm,
Binturong,cub,,,,
Bird||Also see Aves,chick,hen,cock,flock||flight||pod,
Bison,calf,cow,bull,herd,
Bluebird,,,,,
Boar (wild pig)||Also see Pig,piglet||farrow||shoat/shote (just weaned),sow,,herd||singular||sounder (groups of 12 or more),
Bobcat,bobkitten,,,,
Budgerigar / Budgie,chick,,,,
Buffalo,calf,cow||heifer,bull,herd||troop||gang||obstinancy,
Butterfly,caterpillar||larva||pupa||chrysalis,,,flight||flutter||rabble||swarm,
Camel,calf,cow,bull,caravan||flock||herd||train,
Capybara,pup,,,,
Caracal,kitten,,,,
Caribou,calf,doe,buck,herd,
Cassowary,hatchling||chick,,,,
Cat,kitten||kit,molly||queen||pussy,tom||king||gib (castrated male),clowder||cluster||clutter||glaring||pounce||kindle (kittens)||litter (kittens)||pillow (kittens),
Caterpillar,,,,army,
Cattle,calf,cow,bull,herd||drove||yoke (oxen)||team (oxen),beef||veal
Chamois,calf,doe,bull,herd,
Cheetah,cub,she-cheetah,cheetah,coalition (male),
Chicken,chick,hen||pullet,rooster||cock||cockerel||capon (castrated male),flock||brood||peep (chicks)||clutch (eggs),poultry
Chimpanzee,infant,empress,emperor||blackback,troop||tribe,
Chinchilla,kit,velvet||sow,boar||bull,,
Chough,chick,,,chattering||clattering,
Coati,pup||kit,sow,boar,troop,
Cobra,,,,quiver,
Cockroach,nymph,,,intrusion,
Cod,codling,,,school,
Cormorant,chick||shaglet,,,gulp||flight,
Cougar,cub||kitten,she-cougar,,,
Coyote,pup||puppy||cub||whelp,bitch,dog,pack,
Crab,zoea,hen||jenny,cock||jimmy,,
Crane,chick||colt,,,herd||sedge||sege||siege,
Cricket,nymph,,,,
Crocodile,hatchling,cow,bull,bask||congregation||float,
Crow,,,,murder,
Curlew,,,,herd,
Deer,calf||fawn,doe||hind||cow,buck||stag||bull||hart (red deer),bunch||herd||mob||rangale,venison||humble (organ meat)
Dhole,pup,,,pack,
Dingo,pup,,,pack,
Dinosaur,hatchling||juvenile||calf (herbivores)||chick (carnivores),cow (herbivores)||doe (carnivores),bull (herbivores)||buck (carnivores),herd (herbivores)||pack (carnivores),
Dog,pup||puppy||whelp,bitch,dog||stud||sire,pack (wild)||kennel||mute||litter (young)||cowardice (curs)||comedy (boxers)||cry (hounds),
Dogfish,,,,troop,Spiny dogfish||capeshark (USA)||flake (UK AUS)||huss (UK)||kahada (CAN)||rigg (UK)||rock salmon (UK)
Dolphin,calf||pup,cow,bull,school||pod||herd||team,
Donkey- See Ass,,,,,
Dove,chick,hen,cock,arc||cote||dole||dule||flight||piteousness||pitying,
Dragonfly,nymph,queen,king||drake,cluster||flight,
Duck||Also see Mallard,duckling,duck||hen,drake||cock,On land:||flock||herd||badling||brace||safe||sord||sore||waddling||||On water:||bunch||paddling||raft||||In flight:||skein||string||team,poultry
Dugong,calf,cow,bull,herd,
Dunlin,chick,,,fling,
Eagle,eaglet||fledgling,,,convocation,
Echidna,puggle (in common use but not scientifically endorsed),,,,
Eel,leptocephalus (larva)||elver (juvenile),,,bed||swarm,
Eland,calf,cow,bull,herd,
Elephant,calf,cow,bull,herd||memory||parade,
Elephant seal,calf,cow,bull,herd||pack,
Elk,calf,cow,bull,gang||herd,venison
Emu,chick||hatchling,,,mob,
Falcon,eyass/eyas,falcon,tiercel||tercel||terzel,cast,
Ferret,kit,jill,hob,busyness||business,
Finch,chick,hen,cock,charm,
Fish,fry||fingerling,,,school,
Fisher,kit,,,,
Flamingo,chick,,,flamboyance||stand,
Fly,maggot,,,business||cloud||swarm,
Flycatcher,chick,,,,
Fox,cub||kit||pup,vixen,tod||dog||reynard,leash||skulk,
Frog,polliwog||tadpole||froglet,,,army,
Gaur,calf,cow,bull,herd,garabeef
Gazelle,calf,cow,bull,herd,
Gecko,hatchling,dam (herpetoculture),sire (herpetoculture),,
Genet,kit,,,,
Gerbil,pup,doe,buck,horde,
Giant panda,cub,sow,boar,sleuth,
Giraffe,calf,cow,bull,herd||corps||tower,
Gnat,larva,,,cloud||horde||rabble||swarm,
Gnu,calf,cow,bull,herd||implausibility,
Goat,kid,nanny||doe||doeling,billy||buck||buckling||wether (castrated),herd||flock||tribe||trip||trippe,chevon||cabrito||mutton
Goldfinch,,,,charm,
Goosander,,,,dopping,
Goose,gosling,goose,gander,On land:||flock||gaggle||plump||||In flight:||skein||team||wedge||chevron,poultry
Gorilla,infant,,blackback||silverback,band||troop||whoop,
Goshawk,,,,flight,
Grasshopper,nymph,,,cloud||swarm,
Grouse,,,,covey||pack,
Guanaco,chulengo,,,herd,
